2026-04-05 02:23:32.774 +07:00 [INF] HTTP GET /Tour responded 200 in 63.2603 ms
2026-04-05 02:23:32.804 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 1.0641 ms
2026-04-05 02:23:32.815 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 0.9498 ms
2026-04-05 02:23:32.815 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 0.9539 ms
2026-04-05 02:23:32.816 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 7.5520 ms
2026-04-05 02:23:32.822 +07:00 [INF] HTTP GET /css/site.css responded 200 in 29.6156 ms
2026-04-05 02:23:32.831 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 38.9230 ms
2026-04-05 02:23:33.004 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 7.1896 ms
2026-04-05 02:23:33.018 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 0.8032 ms
2026-04-05 02:23:33.032 +07:00 [INF] HTTP GET /images/tours/sg1.jpg responded 404 in 0.7109 ms
2026-04-05 02:23:33.048 +07:00 [INF] HTTP GET /images/tours/sg3.jpg responded 404 in 1.1579 ms
2026-04-05 02:23:33.056 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 0.8265 ms
2026-04-05 02:23:33.077 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 10.8246 ms
2026-04-05 02:23:33.094 +07:00 [INF] HTTP GET /js/site.js responded 200 in 9.8974 ms
2026-04-05 02:23:33.260 +07:00 [INF] HTTP GET /images/tours/fr1.jpg responded 404 in 0.7983 ms
2026-04-05 02:23:34.403 +07:00 [INF] HTTP GET /Tour/Details/76 responded 200 in 57.1438 ms
2026-04-05 02:23:34.422 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 0.6784 ms
2026-04-05 02:23:34.423 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 0.7335 ms
2026-04-05 02:23:34.425 +07:00 [INF] HTTP GET /css/site.css responded 200 in 2.6837 ms
2026-04-05 02:23:34.428 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 7.6048 ms
2026-04-05 02:23:34.431 +07:00 [INF] HTTP GET /images/tours/tl4.jpg responded 404 in 0.9540 ms
2026-04-05 02:23:34.431 +07:00 [INF] HTTP GET /images/tours/tl2.jpg responded 404 in 0.5838 ms
2026-04-05 02:23:34.447 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 3.7152 ms
2026-04-05 02:23:34.453 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 4.1958 ms
2026-04-05 02:23:34.454 +07:00 [INF] HTTP GET /images/tours/tl5.jpg responded 404 in 0.7546 ms
2026-04-05 02:23:34.468 +07:00 [INF] HTTP GET /js/site.js responded 200 in 8.5450 ms
2026-04-05 02:23:43.544 +07:00 [INF] HTTP GET /Tour/Book/76 responded 200 in 314.6529 ms
2026-04-05 02:23:43.580 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 16.3060 ms
2026-04-05 02:23:43.603 +07:00 [INF] HTTP GET /css/site.css responded 200 in 41.6722 ms
